CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,ACUIFERO,SUBTIPO,LONGITUD,LATITUD,PERIODO,ALC_mg/L,CALIDAD_ALC,CONDUCT_mS/cm,CALIDAD_CONDUC,SDT_mg/L,SDT_M_mg/L,CALIDAD_SDT_ra,CALIDAD_SDT_salin,FLUORUROS_mg/L,CALIDAD_FLUO,DUR_mg/L,CALIDAD_DUR,COLI_FEC_NMP/100_mL,CALIDAD_COLI_FEC,N_NO3_mg/L,CALIDAD_N_NO3,AS_TOT_mg/L,CALIDAD_AS,CD_TOT_mg/L,CALIDAD_CD,CR_TOT_mg/L,CALIDAD_CR,HG_TOT_mg/L,CALIDAD_HG,PB_TOT_mg/L,CALIDAD_PB,MN_TOT_mg/L,CALIDAD_MN,FE_TOT_mg/L,CALIDAD_FE,SEMAFORO,CONTAMINANTES,CUMPLE_CON_ALC,CUMPLE_CON_COND,CUMPLE_CON_SDT_ra,CUMPLE_CON_SDT_salin,CUMPLE_CON_FLUO,CUMPLE_CON_DUR,CUMPLE_CON_CF,CUMPLE_CON_NO3,CUMPLE_CON_AS,CUMPLE_CON_CD,CUMPLE_CON_CR,CUMPLE_CON_HG,CUMPLE_CON_PB,CUMPLE_CON_MN,CUMPLE_CON_FE
CAZEPA-1,POZO SAN FERNANDO 1,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,535510","25,509710",2021,"148,645",Media,329,Buena para riego,"210,56","218,4",Excelente para riego,Potable - Dulce,"0,4692",Media,"129,831",Potable - Dura,<1.1,Potable - Excelente,"0,315762",Potable - Excelente,"0,0146",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-10,POZO EL HUARACHE,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,498190","25,528860",2021,"205,02",Alta,615,Buena para riego,"393,6","408,8",Excelente para riego,Potable - Dulce,"0,3576",Baja,"221,7114",Potable - Dura,10,Buena calidad,"3,302791",Potable - Excelente,"0,0209",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-11,POZO LAS AURAS,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,514380","25,548890",2021,"229,14",Alta,636,Buena para riego,"407,04",414,Excelente para riego,Potable - Dulce,"0,3169",Baja,"221,7114",Potable - Dura,<1.1,Potable - Excelente,"4,30467",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-2,POZO SAN FERNANDO 2,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,539530","25,509460",2021,"163,835",Alta,379,Buena para riego,"242,56","239,6",Excelente para riego,Potable - Dulce,"0,566",Media,"141,8154",Potable - Dura,<1.1,Potable - Excelente,"0,156885",Potable - Excelente,"0,0135",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,1214",Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-25,POZO RAYMUNDO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,540540","25,511690",2021,"161,805",Alta,354,Buena para riego,"226,56","233,6",Excelente para riego,Potable - Dulce,"0,4634",Media,"139,818",Potable - Dura,<1.1,Potable - Excelente,"0,224651",Potable - Excelente,"0,0199",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0475",Potable - Excelente,"0,251",Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-3,POZO SAN FERNANDO 3,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,536870","25,509510",2021,"201,81",Alta,637,Buena para riego,"407,68","393,6",Excelente para riego,Potable - Dulce,"0,3702",Baja,"233,6958",Potable - Dura,<1.1,Potable - Excelente,"1,801079",Potable - Excelente,"0,0287",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0017",Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-4,POZO SAN FERNANDO 4,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,537520","25,507770",2021,"210,49",Alta,704,Buena para riego,"450,56","463,2",Excelente para riego,Potable - Dulce,"0,4681",Media,"255,6672",Potable - Dura,<1.1,Potable - Excelente,"2,536777",Potable - Excelente,"0,0205",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0256",Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-5,POZO SAN FERNANDO 5,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,538500","25,509330",2021,"193,13",Alta,564,Buena para riego,"360,96","362,2",Excelente para riego,Potable - Dulce,"0,4814",Media,"209,727",Potable - Dura,<1.1,Potable - Excelente,"0,76618",Potable - Excelente,"0,0239",Apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0053",Potable - Excelente,"0,0298",Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
CAZEPA-7,POZO SAN FERNANDO 7,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,VILLA JUAREZ,POZO,"-103,537130","25,508610",2021,"208,035",Alta,582,Buena para riego,"372,48","377,8",Excelente para riego,Potable - Dulce,"0,4171",Media,"221,7114",Potable - Dura,10,Buena calidad,"1,177043",Potable - Excelente,"0,028",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-8,POZO EL BORDO,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,520940","25,526570",2021,"178,89",Alta,517,Buena para riego,"330,88","325,2",Excelente para riego,Potable - Dulce,"0,4326",Media,"175,7712",Potable - Dura,10,Buena calidad,"3,102369",Potable - Excelente,"0,0308",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
CAZEPA-9,POZO VILLA JARDIN,CUENCAS CENTRALES DEL NORTE,DURANGO,LERDO,PRINCIPAL-REGION LAGUNERA,POZO,"-103,511170","25,548240",2021,"202,005",Alta,641,Buena para riego,"410,24","403,8",Excelente para riego,Potable - Dulce,"0,4952",Media,"219,714",Potable - Dura,<1.1,Potable - Excelente,"3,799561",Potable - Excelente,"0,0322",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0033",Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU19,POZO PASO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,VALLE DE AGUASCALIENTES,POZO,"-102,315570","21,974970",2021,"427,85",Indeseable como FAAP,,,,"635,6",Cultivos sensibles,Potable - Dulce,"0,9508",Potable - Optima,272,Potable - Dura,<1.1,Potable - Excelente,"1,874776",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Amarillo,"ALC,",NO,ND,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU3,PALO ALTO POZO Nº 2,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,EL LLANO,EL LLANO,POZO,"-101,964390","21,905500",2021,"213,925",Alta,559,Buena para riego,"357,76","405,6",Excelente para riego,Potable - Dulce,"3,1038",Alta,"99,87",Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,896848",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,"0,0318",Potable - Excelente,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU34,POZO TANQUE DE LOS JIMENEZ,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,VALLE DE AGUASCALIENTES,POZO,"-102,367160","21,707900",2021,220,Alta,,,397,,Excelente para riego,Potable - Dulce,"1,25",Potable - Optima,133,Potable - Dura,,,,,,,,,,,,,,,,,,,Verde,,SI,ND,SI,SI,SI,SI,ND,ND,ND,ND,ND,ND,ND,ND,ND
DLAGU42,CALVILLO POZO No. 1 INDEPENDENCIA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,CALVILLO,VALLE DE CALVILLO,POZO,"-102,728000","21,844390",2021,"120,4",Media,370,Buena para riego,"236,8","299,2",Excelente para riego,Potable - Dulce,"0,9844",Potable - Optima,90,Potable - Moderadamente suave,<1.1,Potable - Excelente,"3,153371",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Verde,,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU49,POZO TAPIAS VIEJAS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,VENADERO,POZO,"-102,535580","21,851160",2021,"176,3",Alta,311,Buena para riego,"199,04","255,4",Excelente para riego,Potable - Dulce,"1,6536",Alta,92,Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,841724",Potable - Excelente,<0.01,Potable - Excelente,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"FLUO,",SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI
DLAGU5566,POZO ASIENTOS 1,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,ASIENTOS,VALLE DE CHICALOTE,POZO,"-102,088139","22,247722",2021,"109,65",Media,329,Buena para riego,"210,56","228,4",Excelente para riego,Potable - Dulce,"0,9381",Potable - Optima,"81,8934",Potable - Moderadamente suave,<1.1,Potable - Excelente,"1,098265",Potable - Excelente,"0,0352",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,<0.0015,Potable - Excelente,<0.025,Potable - Excelente,Rojo,"AS,",SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,SI,SI
DLAGU5568,POZO TEPEZALA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,TEPEZALA,VALLE DE AGUASCALIENTES,POZO,"-102,168778","22,215750",2021,,,880,Permisible para riego,"563,2",546,Cultivos sensibles,Potable - Dulce,,,,,,,"0,032305",Potable - Excelente,"0,0502",No apta como FAAP,<0.003,Potable - Excelente,<0.005,Potable - Excelente,<0.0005,Potable - Excelente,<0.005,Potable - Excelente,"0,0994",Potable - Excelente,"0,4103",Sin efectos en la salud - Puede dar color al agua,Rojo,"AS,FE,",ND,SI,SI,SI,ND,ND,ND,SI,NO,SI,SI,SI,SI,SI,NO
