CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLCHI289,"KM 0+000, PUENTE INTERNACIONAL CIUDAD JUAREZ",RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,RIO BRAVO,LÓTICO,RÍO,31.7607,-106.5099
DLCHI290,RIO BRAVO 19,RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,RIO BRAVO,LÓTICO,RÍO,31.7817,-106.5287
DLCHI291,CONEJOS-MEDANOS 2,,823,CONEJOS-MEDANOS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,ACUÍFERO CONEJOS-MEDANOS,SUBTERRÁNEO,POZO,31.74933,-106.76219
DLCHI293,CONEJOS-MEDANOS 1,,823,CONEJOS-MEDANOS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,ACUÍFERO CONEJOS-MEDANOS,SUBTERRÁNEO,POZO,31.541667,-106.643611
DLCHI294,PLANTA NORTE,RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,CANAL,LÓTICO,CANAL,31.70936,-106.3704
DLCHI295,PLANTA SUR,RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,CANAL,LÓTICO,CANAL,31.64078,-106.3323
DLCHI296,VALLE DE JUAREZ 1,,833,VALLE DE JUAREZ,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,ACUÍFERO VALLE DE JUAREZ,SUBTERRÁNEO,POZO,31.54709,-106.28142
DLCHI297,VALLE DE JUAREZ 2,,833,VALLE DE JUAREZ,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,GUADALUPE,ACUÍFERO VALLE DE JUAREZ,SUBTERRÁNEO,POZO,31.34143,-106.11205
DLCHI298,LOMA BLANCA,RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,JUÁREZ,CANAL,LÓTICO,CANAL,31.57044,-106.2915
DLCHI299,GUADALUPE,RÍO BRAVO 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,GUADALUPE,CANAL,LÓTICO,CANAL,31.39817,-106.11747
DLCHI300,VALLE DE JUAREZ 3,,833,VALLE DE JUAREZ,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,PRAXEDIS G. GUERRERO,ACUÍFERO VALLE DE JUAREZ,SUBTERRÁNEO,POZO,31.27197,-105.8813
DLCHI301,FLORES MAGON-VILLA AHUMADA 3,,821,FLORES MAGON-VILLA AHUMADA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,AHUMADA,ACUÍFERO FLORES MAGON-VILLA AHUMADA,SUBTERRÁNEO,POZO,30.15929,-106.43805
DLCHI302,FLORES MAGON-VILLA AHUMADA 1,,821,FLORES MAGON-VILLA AHUMADA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO FLORES MAGON-VILLA AHUMADA,SUBTERRÁNEO,POZO,30.21411,-106.84755
DLCHI303,FLORES MAGON-VILLA AHUMADA 2,,821,FLORES MAGON-VILLA AHUMADA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO FLORES MAGON-VILLA AHUMADA,SUBTERRÁNEO,POZO,29.92068,-106.7927
DLCHI304,LAGUNA VIEJA 1,,819,LAGUNA LA VIEJA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO LAGUNA LA VIEJA,SUBTERRÁNEO,POZO,29.99036,-107.21771
DLCHI305,LAGUNA VIEJA 3,,819,LAGUNA LA VIEJA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO LAGUNA LA VIEJA,SUBTERRÁNEO,POZO,30.11655,-107.30004
DLCHI306,LAGUNA VIEJA 2,,819,LAGUNA LA VIEJA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO LAGUNA LA VIEJA,SUBTERRÁNEO,POZO,30.20766,-107.3745
DLCHI307,BUENAVENTURA 3,,804,BUENAVENTURA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,GALEANA,ACUÍFERO BUENAVENTURA,SUBTERRÁNEO,POZO,30.29047,-107.65257
DLCHI308,RIO PARRAL,RÍO PARRAL,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,HIDALGO DEL PARRAL,RIO PARRAL,LÓTICO,RÍO,26.95994,-105.63465
DLCHI309,CASAS GRANDES 3,,806,CASAS GRANDES,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NUEVO CASAS GRANDES,ACUÍFERO CASAS GRANDES,SUBTERRÁNEO,POZO,30.37578,-107.93162
DLCHI310,RIO CASAS GRANDES 6,RÍO CASAS GRANDES 2,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CASAS GRANDES,RIO CASAS GRANDES,LÓTICO,RÍO,30.24881,-107.9738
DLCHI311,CASAS GRANDES 1,,806,CASAS GRANDES,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CASAS GRANDES,ACUÍFERO CASAS GRANDES,SUBTERRÁNEO,POZO,30.26354,-107.96673
DLCHI312,BUENAVENTURA 2,,804,BUENAVENTURA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,GALEANA,ACUÍFERO BUENAVENTURA,SUBTERRÁNEO,POZO,29.98554,-107.5984
DLCHI313,BUENAVENTURA 1,,804,BUENAVENTURA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,ACUÍFERO BUENAVENTURA,SUBTERRÁNEO,POZO,29.84598,-107.48668
DLCHI314,BAJA BABICORA 3,,803,BAJA BABICORA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,ACUÍFERO BAJA BABICORA,SUBTERRÁNEO,POZO,29.29433,-107.30361
DLCHI315,BAJA BABICORA 2,,803,BAJA BABICORA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,ACUÍFERO BAJA BABICORA,SUBTERRÁNEO,POZO,29.03065,-107.47621
DLCHI316,BAJA BABICORA 1,,803,BAJA BABICORA,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BACHÍNIVA,ACUÍFERO BAJA BABICORA,SUBTERRÁNEO,POZO,28.7217,-107.24538
DLCHI317,CUAUHTÉMOC 2,,805,CUAUHTEMOC,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BACHÍNIVA,ACUÍFERO CUAUHTEMOC,SUBTERRÁNEO,POZO,28.84271,-107.10686
DLCHI318,CUAUHTÉMOC 3,,805,CUAUHTEMOC,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,ACUÍFERO CUAUHTEMOC,SUBTERRÁNEO,POZO,28.58134,-107.00819
DLCHI319,TINTERO 4,RÍO SANTA MARÍA 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,29.542969,-107.38206
DLCHI320,LAS LAJAS 3,RÍO DEL CARMEN 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,RIO DEL CARMEN,LÉNTICO (HUMEDAL),PRESA,29.882565,-107.03531
DLCHI321,LAS LAJAS 2,RÍO DEL CARMEN 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,RIO DEL CARMEN,LÉNTICO (HUMEDAL),PRESA,29.88464,-107.049826
DLCHI322,LAS LAJAS 1,RÍO DEL CARMEN 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,RIO DEL CARMEN,LÉNTICO,PRESA,29.877449,-107.059482
DLCHI323,TINTERO 3,RÍO SANTA MARÍA 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,29.528689,-107.36957
DLCHI324,TINTERO 2,RÍO SANTA MARÍA 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,RIO SANTA MARIA,LÉNTICO (HUMEDAL),PRESA,29.507261,-107.362579
DLCHI325,SAN MARCOS 1,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA SAN MARCOS,LÉNTICO,PRESA,28.789284,-106.362787
DLCHI326,SAN MARCOS 2,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA SAN MARCOS,LÉNTICO,PRESA,28.789616,-106.360193
DLCHI326M1,MEOQUI-DELICIAS (M-48),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,MEOQUI,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.426111,-105.5436111
DLCHI327,TINTERO 1,RÍO SANTA MARÍA 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,NAMIQUIPA,RIO SANTA MARIA,LÉNTICO,PRESA,29.491906,-107.375205
DLCHI327M1,MEOQUI-DELICIAS (M-42),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,MEOQUI,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.3558333,-105.5672222
DLCHI328,RIO SAN ANTONIO 3,LAGUNA DE BUSTILLOS,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,RIO SAN ANTONIO,LÓTICO,RÍO,28.49386,-106.809
DLCHI329,RIO SAN ANTONIO 1,LAGUNA DE BUSTILLOS,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,RIO SAN ANTONIO,LÓTICO,RÍO,28.42404,-106.85957
DLCHI330,POZO 24,,805,CUAUHTEMOC,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,ACUÍFERO CUAUHTEMOC,SUBTERRÁNEO,POZO,28.41368,-106.86832
DLCHI331,RIO SAN ANTONIO 2,LAGUNA DE BUSTILLOS,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,RIO SAN ANTONIO,LÓTICO,RÍO,28.39293,-106.8753
DLCHI331M1,MEOQUI-DELICIAS (M-51),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,MEOQUI,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.33,-105.4283333
DLCHI332,RIO LOS NOGALES 1,LAGUNA DE BUSTILLOS,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CUAUHTÉMOC,RIO LOS NOGALES,LÓTICO,RÍO,28.39085,-106.87631
DLCHI332M1,MEOQUI-DELICIAS (4-A),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,DELICIAS,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.1836111,-105.474444
DLCHI333,"JUGOMEX, S.A. DE C.V. (AGUAS ARRIBA)",RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,ARROYO EL ROSARIO,LÓTICO,DESCARGA,28.45547,-107.24731
DLCHI334,"JUGOMEX, S.A. DE C.V. (AGUAS ABAJO) II",RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,ARROYO EL ROSARIO,LÓTICO,DESCARGA,28.4611,-107.2448
DLCHI335,PAPIGOCHI,RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,RIO PAPIGOCHI,LÓTICO,RÍO,28.38869,-107.43668
DLCHI336,"JUGOMEX, S.A. DE C.V. (AGUAS ABAJO)",RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,ARROYO EL ROSARIO,LÓTICO,DESCARGA,28.47048,-107.24052
DLCHI337,PRESA ABRAHAM GONZALEZ II,RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,28.46236,-107.45664
DLCHI338,PRESA ABRAHAM GONZALEZ I,RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,28.47532,-107.47943
DLCHI339,PRESA ABRAHAM GONZALEZ III,RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,28.47946,-107.48169
DLCHI340,PRESA ABRAHAM GONZALEZ,RÍO YAQUI 1,,,NOROESTE,CHIHUAHUA,CHIHUAHUA,GUERRERO,PRESA ABRAHAM GONZALEZ,LÉNTICO (HUMEDAL),PRESA,28.48188,-107.48402
DLCHI341,LAS LAJAS 4,RÍO DEL CARMEN 1,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,BUENAVENTURA,RIO DEL CARMEN,LÉNTICO (HUMEDAL),PRESA,29.871915,-107.028539
DLCHI342,SAN MARCOS 3,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA SAN MARCOS,LÉNTICO,PRESA,28.790534,-106.357919
DLCHI342M1,MEOQUI-DELICIAS (M-45),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,MEOQUI,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.391111,-105.6258333
DLCHI343,SAN MARCOS 4,RÍO CONCHOS 3,,,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,PRESA SAN MARCOS,LÉNTICO,PRESA,28.792342,-106.356621
DLCHI343M1,MEOQUI-DELICIAS (6-B),,831,MEOQUI-DELICIAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,MEOQUI,ACUÍFERO MEOQUI-DELICIAS,SUBTERRÁNEO,POZO,28.270833,-105.4802778
DLCHI344,CASETA OJO LAGUNA,,807,EL SAUZ-ENCINILLAS,RÍO BRAVO,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,ACUÍFERO EL SAUZ-ENCINILLAS,SUBTERRÁNEO,POZO,29.48187,-106.40643
