CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLCOA430,POZO 1 RANCHO SAN JUAN (CHAPULA),,502,CAÑON DEL DERRAMADERO,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,SALTILLO,ACUÍFERO CAÑON DEL DERRAMADERO,SUBTERRÁNEO,POZO,25.26437,-101.21586
DLCOA431,"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,PROGRESO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.51147,-100.67499
DLCOA432,"PRESA VENUSTIANO CARRANZA, CENTRO",RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,PROGRESO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.49669,-100.64442
DLCOA433,"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SALADO",RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,PROGRESO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.48473,-100.70438
DLCOA434,"PRESA VENUSTIANO CARRANZA, SURESTE",RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,JUÁREZ,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.44855,-100.61208
DLCOA435,"PRESA VENUSTIANO CARRANZA, SUROESTE",RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,JUÁREZ,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.45079,-100.69417
DLCOA436,RIO SABINAS 6,RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,JUÁREZ,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,27.61015,-100.72442
DLCOA437,CORTINA PRESA VENUSTIANO CARRANZA,RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,PROGRESO,PRESA VENUSTIANO CARRANZA,LÉNTICO (HUMEDAL),PRESA,27.50921,-100.6149
DLCOA438,HIDROMETRICA PROGRESO,RÍO NADADORES,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,PROGRESO,RIO SALADO,LÓTICO,RÍO,27.41874,-100.99757
DLCOA439,RIO SABINAS 4,RÍO SALADO,,,RÍO BRAVO,COAHUILA,COAHUILA DE ZARAGOZA,SABINAS,RIO SABINAS,LÓTICO (HUMEDAL),RÍO,27.76779,-101.02054
