CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO DE CUERPO DE AGUA,FECHA,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,TOX_V_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,SALINIDAD_SUP,SALINIDAD_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,K_TOT,MAT_FLOTANTE,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SB_TOT,SIO2,SO4_TOT,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,TEMP_AGUA_30,TEMP_AGUA_31,TEMP_AGUA_32,TEMP_AGUA_33,TEMP_AGUA_34,TEMP_AGUA_35,TEMP_AGUA_36,TEMP_AGUA_37,TEMP_AGUA_38,TEMP_AGUA_39,TEMP_AGUA_39.5,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL,BA_SOL,SB_SOL
CAZEPA-1,CAZEPA-1-260921,POZO SAN FERNANDO 1,SUBTERRÁNEO,9/23/2021,,148.645,0,148.645,0,,<10,,,2.096,,,,,,<0.02,<0.021,0.315762,0.27907,<0.635832,<0.29907,,,,,,,,,,,,,0.0381,0.1166,,,,,218.4,329,,,,8.1,,,,,,76.8,5.96,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,<10,<0.2,<0.001,<0.025,0.4692,3.37,,<0.202,<0.0015,19.51,<0.05,,,15.6724,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0146,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0013,0.003,0.0147,177.3,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,58.92,5.093,129.831,27,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,0.4503,<15,0.0143,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,47.84,4.921,2.861,16.1,<0.05,,
CAZEPA-10,CAZEPA-10-260921,POZO EL HUARACHE,SUBTERRÁNEO,9/24/2021,,205.02,0,205.02,0,,10,,,0.6901,,,,,,<0.02,<0.021,3.302791,0.08786,<3.431651,<0.10786,,,,,,,,,,,,,0.0405,0.124,,,,,408.8,615,,,,7.4,,,,,,84,5.88,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,12.996,<0.2,<0.001,<0.025,0.3576,4.734,,<0.202,<0.0015,43.29,<0.05,,,86.2956,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0209,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0014,0.0031,<0.01,148.4,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,85.09,16.07,221.7114,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9963,0.3436,86.2435,0.0192,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,68.13,15.22,3.369,35.84,<0.05,,
CAZEPA-11,CAZEPA-11-260921,POZO LAS AURAS,SUBTERRÁNEO,9/24/2021,,229.14,0,229.14,0,,<10,,,<0.5,,,,,,<0.02,<0.021,4.30467,0.06846,<4.41413,<0.08846,,,,,,,,,,,,,0.0554,0.1695,,,,,414,636,,,,7.3,,,,,,101.9,7.29,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,23.6593,<0.2,<0.001,<0.025,0.3169,5.373,,<0.202,<0.0015,50.9,<0.05,,,62.0236,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,<0.005,<0.0015,0.0208,720.7,,,,<0.001,<0.001,<0.001,<0.003,0.43,<0.001,<0.001,,,<0.002,<0.001,<0.003,93.77,9.476,221.7114,27,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6458,0.3012,54.5026,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,74.51,9.067,3.971,42.26,<0.05,,
CAZEPA-2,CAZEPA-2-260921,POZO SAN FERNANDO 2,SUBTERRÁNEO,9/23/2021,,163.835,0,163.835,0,,<10,,,2.066,,,,,,<0.02,<0.021,0.156885,0.22115,<0.419035,<0.24115,,,,,,,,,,,,,0.0442,0.1353,,,,,239.6,379,,,,7.8,,,,,,45.3,3.4,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,0.0104,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,<10,<0.2,<0.001,<0.025,0.566,3.015,,<0.202,0.1214,25.87,<0.05,,,24.1454,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0135,<0.003,<0.005,<0.0005,<0.001,<0.005,<0.005,0.002,0.0167,167.5,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,62.88,6.718,141.8154,28,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,0.5348,23.6107,0.0127,<0.003,<0.005,<0.025,0.0733,<0.0005,<0.005,<0.01,,,,<0.001,50.79,6.495,2.387,21.66,<0.05,,
CAZEPA-25,CAZEPA-25-260921,POZO RAYMUNDO,SUBTERRÁNEO,9/24/2021,,161.805,0,161.805,0,,<10,,,2.635,,,,,,0.032414,<0.021,0.224651,0.24215,<0.520215,0.274564,,,,,,,,,,,,,0.0586,0.1794,,,,,233.6,354,,,,7.5,,,,,,45.6,3.37,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,0.0313,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,<10,<0.2,<0.001,0.251,0.4634,2.818,,<0.202,0.0475,19.84,<0.05,,,16.9278,10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0199,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0018,0.0127,<0.01,115.9,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,60.53,5.869,139.818,28,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,0.4458,<15,0.0129,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,49.02,5.336,2.036,17.06,<0.05,,
CAZEPA-3,CAZEPA-3-260921,POZO SAN FERNANDO 3,SUBTERRÁNEO,9/23/2021,,201.81,0,201.81,0,,<10,,,0.9166,,,,,,<0.02,<0.021,1.801079,0.13137,<1.973449,<0.15137,,,,,,,,,,,,,0.0401,0.1227,,,,,393.6,637,,,,7.4,,,,,,63.8,4.51,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,0.0112,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,14.0949,<0.2,<0.001,<0.025,0.3702,4.5,,<0.202,0.0017,43.1,<0.05,,,96.1925,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0287,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0013,0.0027,<0.01,170.9,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,81.81,21.19,233.6958,28,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5915,0.3561,96.1925,0.0266,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,66.99,20.4,3.648,36.84,<0.05,,
CAZEPA-4,CAZEPA-4-260921,POZO SAN FERNANDO 4,SUBTERRÁNEO,9/23/2021,,210.49,0,210.49,0,,<10,,,0.6888,,,,,,0.029814,<0.021,2.536777,0.24161,<2.829201,0.271424,,,,,,,,,,,,,0.0381,0.1166,,,,,463.2,704,,,,7.9,,,,,,97.7,6.69,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,18.122,<0.2,<0.001,<0.025,0.4681,4.464,,<0.202,0.0256,52.96,<0.05,,,107.8595,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0205,<0.003,<0.005,<0.0005,<0.001,<0.005,0.002,<0.0015,<0.01,166.6,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,85.77,23.05,255.6672,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6119,0.4288,107.8595,0.0203,<0.003,<0.005,<0.025,0.012,<0.0005,<0.005,<0.01,,,,<0.001,66.95,21.62,3.482,43.71,<0.05,,
CAZEPA-5,CAZEPA-5-260921,POZO SAN FERNANDO 5,SUBTERRÁNEO,9/23/2021,,193.13,0,193.13,0,,<10,,,1.092,,,,,,<0.02,<0.021,0.76618,0.41109,<1.21827,<0.43109,,,,,,,,,,,,,0.0331,0.1014,,,,,362.2,564,,,,7.8,,,,,,86.1,6.13,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,13.0881,<0.2,<0.001,0.0298,0.4814,3.858,,<0.202,0.0053,38.18,<0.05,,,78.9608,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0239,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0007,0.0097,<0.01,232,,,,<0.001,<0.001,<0.001,<0.003,0.71,0.00249,<0.001,,,<0.002,<0.001,<0.003,76.74,15.55,209.727,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.578,0.4518,78.9608,0.0193,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,63.41,15.1,3.236,32.85,<0.05,,
CAZEPA-7,CAZEPA-7-260921,POZO SAN FERNANDO 7,SUBTERRÁNEO,9/24/2021,,208.035,0,208.035,0,,10,,,1.381,,,,,,0.040254,<0.021,1.177043,0.20244,<1.440737,0.242694,,,,,,,,,,,,,0.1393,0.4261,,,,,377.8,582,,,,7.5,,,,,,52.2,3.9,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,13.0881,<0.2,<0.001,<0.025,0.4171,4.372,,<0.202,<0.0015,41.72,0.051,,,80.8084,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.028,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0013,<0.0015,<0.01,131.2,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,74.69,19.72,221.7114,27,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0814,0.3949,80.8084,0.0249,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,60.04,18.84,3.518,34.71,<0.05,,
CAZEPA-8,CAZEPA-8-260921,POZO EL BORDO,SUBTERRÁNEO,9/24/2021,,178.89,0,178.89,0,,10,,,1.367,,,,,,<0.02,<0.021,3.102369,0.04291,<3.186279,<0.06291,,,,,,,,,,,,,0.0556,0.17,,,,,325.2,517,,,,7.5,,,,,,88.4,6.18,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,12.996,<0.2,<0.001,<0.025,0.4326,3.977,,<0.202,<0.0015,38.24,<0.05,,,63.6586,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0308,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0013,<0.0015,<0.01,110.6,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,60.32,17.22,175.7712,28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9963,0.4088,61.0817,0.0273,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,47.64,16.22,2.797,32.28,<0.05,,
