CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
DLDUR5403,POZO BAYLON,,1009,MATALOTES-EL ORO,CUENCAS CENTRALES DEL NORTE,DURANGO,DURANGO,EL ORO,ACUÍFERO MATALOTES-EL ORO,SUBTERRÁNEO,POZO,25.91927,-105.41268
DLDUR5404,POZO GUANACEVI,,1009,MATALOTES-EL ORO,CUENCAS CENTRALES DEL NORTE,DURANGO,DURANGO,GUANACEVÍ,ACUÍFERO MATALOTES-EL ORO,SUBTERRÁNEO,POZO,25.93558,-105.95998
DLDUR5405,POZO SAN FERMÍN,,1015,SAN FERMIN,CUENCAS CENTRALES DEL NORTE,DURANGO,DURANGO,HIDALGO,ACUÍFERO SAN FERMIN,SUBTERRÁNEO,POZO,26.32283,-104.80348
DLDUR5406,POZO LAS DELICIAS,,1013,BUENOS AIRES,CUENCAS CENTRALES DEL NORTE,DURANGO,DURANGO,INDÉ,ACUÍFERO BUENOS AIRES,SUBTERRÁNEO,POZO,25.69362,-105.04658
DLDUR5407,POZO EL MEZQUITAL,,1017,VALLE DEL MEZQUITAL,PACÍFICO NORTE,DURANGO,DURANGO,MEZQUITAL,ACUÍFERO VALLE DEL MEZQUITAL,SUBTERRÁNEO,POZO,23.47888,-104.3969
DLDUR5531,LA ROSILLA 1,Río Presidio 1,,,PACÍFICO NORTE,DURANGO,DURANGO,PUEBLO NUEVO,PRESA LA ROSILLA,LÉNTICO,PRESA,23.73578056,-105.3967194
DLDUR5784,POZO CIENEGA GRANDE,,1016,SAN JUAN DEL RIO,CUENCAS CENTRALES DEL NORTE,DURANGO,DURANGO,SAN JUAN DEL RIO,ACUÍFERO SAN JUAN DEL RIO,SUBTERRÁNEO,POZO,24.759294,-104.535775
DLDUR5785,POZO MARTIN LOPEZ,,1002,VALLE DE CANATLAN,PACÍFICO NORTE,DURANGO,DURANGO,CANATLAN,ACUÍFERO VALLE DE CANATLAN,SUBTERRÁNEO,POZO,24.45261,-104.7467
DLDUR5786,POZO LA SAUCEDA,,1002,VALLE DE CANATLAN,PACÍFICO NORTE,DURANGO,DURANGO,CANATLAN,ACUÍFERO VALLE DE CANATLAN,SUBTERRÁNEO,POZO,24.52384,-104.75143
DLDUR5787,POZO COL ANAHUAC,,1002,VALLE DE CANATLAN,PACÍFICO NORTE,DURANGO,DURANGO,CANATLAN,ACUÍFERO VALLE DE CANATLAN,SUBTERRÁNEO,POZO,24.41113,-104.61085
DLDUR5788,POZO CERRO GORDO,,1002,VALLE DE CANATLAN,PACÍFICO NORTE,DURANGO,DURANGO,CANATLAN,ACUÍFERO VALLE DE CANATLAN,SUBTERRÁNEO,POZO,24.31949,-104.70744
DLDUR5789,POZO MEDINA,,1002,VALLE DE CANATLAN,PACÍFICO NORTE,DURANGO,DURANGO,CANATLAN,ACUÍFERO VALLE DE CANATLAN,SUBTERRÁNEO,POZO,24.55796,-104.64975
DLDUR5790,POZO DR. CASTILLO DEL VALLE,,1001,VALLE DE SANTIAGUILLO,PACÍFICO NORTE,DURANGO,DURANGO,NUEVO IDEAL,ACUÍFERO VALLE DE SANTIAGUILLO,SUBTERRÁNEO,POZO,24.99142,-104.95202
DLDUR5791,POZO LA ESCONDIDA.,,1001,VALLE DE SANTIAGUILLO,PACÍFICO NORTE,DURANGO,DURANGO,NUEVO IDEAL,ACUÍFERO VALLE DE SANTIAGUILLO,SUBTERRÁNEO,POZO,24.87026,-104.77324
