CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO DE CUERPO DE AGUA,FECHA,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,TOX_V_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ENTEROC_FEC,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,K_TOT,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SB_TOT,SIO2,SO4_TOT,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL,BA_SOL,SB_SOL
OCRBR4974M1,OCRBR4974M1-211012,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,11/4/2012,,,,,,,2400,2400,2400,0.89,0.88,<2,<2,<10,<10,0.0559,<0.021,0.2332,0.1942,<0.5043,0.2501,<1,,,,,,,,,<1,<1,<1,0.053,,0.019,<5,,<0.03,431.36,674,,,,7.25,,,,42.1,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,,,,,,,,,7.7,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,296,27.5,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-181112,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,12/4/2012,,,,,,,240,460,240,<0.5,<0.5,<2,<2,<10,<10,0.0619,<0.021,0.475,0,<0.5579,0.0619,<1,,,,,,,,,<1,<1,,0.0393,,0.0166,<5,,<0.03,428.16,669,,,,7.36,,,,50.4,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,,,,,,,,,4.9,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,292,16.2,22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-091212,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,1/15/2013,,,,,,,1100,1100,1100,4.5589,<0.5,<2,<2,<10,<10,0.08,<0.021,0.9162,0.03,<1.0472,0.11,<1,,,,,,,,,<1,<1,,0.08,,0.04,<5,,<0.03,459.52,718,,,,7.27,,,,60,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,,,,,,,,,7.5,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,302,23.1,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-100313,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,3/8/2013,,,,,,,93,1100,93,5.97,3.18,<2,<2,<10,<10,0.0775,1.291,<0.02,0.516,<1.9045,0.5935,<1,,,,,,,,,<1,<1,,0.099,,0.012,10,,<0.03,490.88,767,,,,7.31,,,,86,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,24,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,347,24.1,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-090613,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,6/7/2013,,,,,,,1100,2400,1100,2.78,<0.5,<2,<2,<10,<10,<0.02,<0.021,0.71002,0.176,<0.92702,<0.196,<1,,,,,,,,,<1,<1,,0.115,,0.017,,,<0.03,513.28,802,,,,7.29,,,,82.6,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,6.3,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,364,27.7,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-280713,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,7/24/2013,,,,,,,460,1100,460,2.7502,2.7502,<2,<2,<10,<10,0.1542,<0.021,0.8159,0,<0.9911,0.1542,<1,,,,,,,,,<1,<1,,0.1155,,0.0508,21,,0.0457,494.08,772,,,,7.31,,,,52.9,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,8.6,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,,,,,,,,,,,,,,,,,,348,29.8,26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-101113,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,11/6/2013,,,,,,,90,11000,90,,,<2,<2,,,0.161,0.024,1.396,0.639,2.22,0.8,<1,,,,,,,,,<1,<1,,0.113,,0.014,13,,0.043,512.64,801,,,,7.29,,,,83.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.183,,,,72,,,,,,,,,31,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,<0.005,,,,,,,,,,,,,,,,,,,,,386,27.9,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-020314,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,2/24/2014,,,,,,,230,230,230,0.868,0.868,3.9,3.9,47.49,66.99,0.15,0.111,0.826,0.391,1.478,0.541,<1,,,,,,,,,<1,<1,,0.1471,,0.0249,<5,,0.032,627.84,981,,,,7.03,,,,148.2,10.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.05,,,,63,,,,,,,,,65,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0033,,,,,,,,,,,,,,,,,,,,,600,23.7,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-110514,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,5/29/2014,,,,,,,11000,24000,11000,19.26,8.71,3.9,6.7,12,14,0.046,<0.021,0.614,0.43,<1.111,0.476,<1,,,,,,,,,<1,<1,,0.048,,0.01,6,,0.03,327.04,511,,,,7.1,,,,101.6,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.05,,,,<10,,,,,,,,,2.7,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,<0.005,,,,,,,,,,,,,,,,,,,,,276,29.2,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,
OCRBR4974M1,OCRBR4974M1-220614,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,LÓTICO,7/1/2014,,,,,,,230,430,230,5.99,1.54,<2,<2,<10,16,0.086,<0.021,0.59,0.771,<1.468,0.857,<1,,,,,,,,,<1,<1,,0.47,,0.038,<5,,0.054,327.04,511,,,,7.1,,,,101.3,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,<10,,,,,,,,,4,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.008,,,,,,,,,,,,,,,,,,,,,276,37.4,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,
