CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO DE CUERPO DE AGUA,FECHA,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,TOX_V_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,SALINIDAD_SUP,SALINIDAD_MED,SALINIDAD_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ENTEROC_FEC,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,K_TOT,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SIO2,SO4_TOT,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,TEMP_AGUA_30,TEMP_AGUA_31,TEMP_AGUA_32,TEMP_AGUA_33,TEMP_AGUA_34,TEMP_AGUA_35,TEMP_AGUA_36,TEMP_AGUA_37,TEMP_AGUA_38,TEMP_AGUA_39,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL
OCGNO0001RNL21,OCGNO0001RNL21-300421,"CANAL AMERICANO ESCLUSA, LADO SALADO",LÓTICO,4/30/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,23700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,,,
OCGNO0002RNL21,OCGNO0002RNL21-200521,LAGUNA DEL CHAIREL BOCATOMA COMAPA ,LÉNTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6430,,6430,,,,,<10,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,29,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
OCGNO0003RNL21,OCGNO0003RNL21-200521,LAGUNA DEL CHAIREL FRENTE CLUB REGATAS CORONA ,LÉNTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310,,6420,,,,,<10,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,29,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,
OCGNO0004RNL21,OCGNO0004RNL21-200521,"CANAL CORONA, SALIDA ",LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,
OCGNO0005RNL21,OCGNO0005RNL21-200521,"CANAL CORONA, ENTRADA ",LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,
OCGNO0006RNL21,OCGNO0006RNL21-200521,"LAGUNA DEL CHAIREL, FRENTE COMPUERTAS DEL CANAL AMERICANO",LÉNTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,,10010,,,,,<10,,<10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,29,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
OCGNO0007RNL21,OCGNO0007RNL21-200521,RÍO TAMESÍ  FRENTE DIQUE 7 ENTRADA ,LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,
OCGNO0008RNL21,OCGNO0008RNL21-200521,RÍO TAMESÍ  CRUZ CHICA ,LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,
OCGNO0009RNL21,OCGNO0009RNL21-200521,"RÍO TAMESÍ, CANAL SAN SEBASTIAN ",LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,
OCGNO0010RNL21,OCGNO0010RNL21-200521,"RÍO TAMESÍ, CRUZ GRANDE  ",LÓTICO,5/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,
