CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÕFERO,ACUÕFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCGNO3475W1,AFLUENTE PRESA PEDRO JOSE MENDEZ 1,RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,RIO SAN JUAN,L”TICO (HUMEDAL),PRESA,24.2235,-99.57051
OCGNO3476,PRESA PEDRO JOSE MENDEZ 3,RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,PRESA PEDRO JOSE MENDEZ,L…NTICO (HUMEDAL),PRESA,24.23771,-99.5632
OCGNO3477,PRESA PEDRO JOSE MENDEZ 4,RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,PRESA PEDRO JOSE MENDEZ,L…NTICO (HUMEDAL),PRESA,24.245,-99.56032
OCGNO3478,PRESA PEDRO JOSE MENDEZ 2,RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,PRESA PEDRO JOSE MENDEZ,L…NTICO (HUMEDAL),PRESA,24.23678,-99.55451
OCGNO3479,RIO SAN ANTONIO HIDROMETRICA  TOMASE—O,RÕO SAN ANTONIO,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,RIO SAN ANTONIO,L”TICO,RÕO,24.26381,-99.44401
OCGNO3480,PRESA LA ESCONDIDA,¡REA NO AFORADA,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,PRESA LA ESCONDIDA,L…NTICO (HUMEDAL),PRESA,24.20878,-99.34648
OCGNO3481,"RIO PURIFICACION, EL BARRETAL",RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,RIO PURIFICACION,L”TICO (HUMEDAL),RÕO,24.18115,-99.32381
OCGNO3482,"RIO BLANCO, BENITO JUAREZ",RÕO PURIFICACI”N 1,,,GOLFO NORTE,TAMAULIPAS,HIDALGO,RIO BLANCO,L”TICO,RÕO,24.15178,-99.40624
OCGNO3483,POZO 18 EJIDO SANTA ROSA,,2807,VICTORIA-GUEMEZ,GOLFO NORTE,TAMAULIPAS,G‹…MEZ,ACUÕFERO VICTORIA-GUEMEZ,SUBTERR¡NEO,POZO,23.96256,-99.266
OCGNO3484,POZO 21 EJ. EL PROGRESO,,2807,VICTORIA-GUEMEZ,GOLFO NORTE,TAMAULIPAS,G‹…MEZ,ACUÕFERO VICTORIA-GUEMEZ,SUBTERR¡NEO,POZO,23.96787,-99.08132
OCGNO3485,POZO 212 JORGE VALENTIN BERNAL,,2806,MARGENES DEL RIO PURIFICACION,GOLFO NORTE,TAMAULIPAS,PADILLA,ACUÕFERO MARGENES DEL RIO PURIFICACION,SUBTERR¡NEO,POZO,24.09905,-99.12158
