C_SITIO,C_MONITOREO,NOMBRE_SITIO,TIPO_CUERPO_AGUA,FECHA,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,TOX_V_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,GLIFOSATO,K_TOT,MAT_FLOTANTE,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SB_TOT,SIO2,SO4_TOT,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,TEMP_AGUA_30,TEMP_AGUA_31,TEMP_AGUA_32,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL,BA_SOL,SB_SOL,AMPA
DLCOA430,DLCOA430-111112,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,11/23/2012,<25,281,0,281,0,,9,,,,,,,,,0.0504,<0.021,5.8647,1.1201,<7.0562,1.1705,,,,,,,,,,,,,0.0529,0.161874,,,,,439.68,687,,,,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,0.4092,0.6924,,5.782,,,<0.0015,36.76,,,34.47,50.2346,,,,,,,,,,,<0.01,,,,,,,,,,,,,,,,,,,,,,,,,105.8,35.35,324,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-110813,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,08/08/2013,<25,278,0,278,0,,<3,,,,,,,,,0.0561,<0.021,5.9031,0,<5.9802,0.0561,,,,,,,,,,,,,0.0238,0.072828,,,,,442.88,692,,,,6.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,0.1295,0.8468,,1.066,,,<0.0015,27.33,,,29.17,38.115,,,,,,,,,,,<0.01,,,<0.0005,,,,,,,,,,,,,,,,,,,,,,81.85,33.27,304,35.9,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-250514,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,08/04/2014,<25,270,0,270,0,,<30,,,<0.5,,,,,,<0.02,0.041,3.555,0.12,<3.736,<0.14,,,,,,,,,,,,,0.008,0.02448,,,,<0.03,442,1713,,,,6.8,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,27,<0.2,<0.001,<0.025,0.735,,1.7,,<0.202,<0.0015,31.6,<0.05,,21.47,57.9,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,<0.01,238.9,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,77.9,30.6,318,28.2,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-260415,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,05/04/2015,<25,279,0,279,0,,4,,,0.61,,,,,,<0.02,<0.021,6.1735,0,<6.2145,<0.02,,,,,,,,,,,,,0.043,0.13158,,,,<0.03,492,721,,,,7.6,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,33,<0.2,<0.001,0.06,0.829,,1.9,,<0.202,<0.0015,37.5,<0.05,,20.79,49.8,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,<0.01,300.2,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,77.7,31.2,309.95,28.7,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-220516,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,09/09/2016,<25,308.1,0,308.1,0,,<3,,,<0.5,,,,,,0.169631,<0.021,2.748355,0.080771,<3.019757,0.250402,,,,,,,,,,,,,0.0129,0.039474,,,,<0.03,446,1196,,,,7.8,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,24.94,<0.2,<0.001,0.0399,0.9684,,1.738,,<0.202,<0.0015,62.49,0.067,,23.68,47.3023,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,<0.01,,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,54.11,23.94,271.58,24.7,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-060817,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,08/01/2017,<25,274.35,0,274.35,0,,<3,,,<0.5,,,,,,0.038193,<0.021,4.986868,0,<5.046061,0.038193,,,,,,,,,,,,,0.0151,0.046206,,,,0.0342,428,703,,,,7.5,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,20.8836,<0.2,<0.001,<0.025,0.786,,2.126,,<0.202,<0.0015,29.91,<0.05,,28.95,47.7759,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,0.0202,151.5,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,82.74,39.07,304.74,25.3,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-280118,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,1/26/2018,<25,275.73,0,275.73,0,,<3,,,<0.5,,,,,,0.021625,<0.021,7.132261,0.05385,<7.228736,0.075475,,,,,,,,,,,,,0.0273,0.083538,,,,<0.03,452,738,,,,7.1,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,23.4502,<0.2,<0.001,0.1013,0.8463,,2.041,,<0.202,<0.0015,26.67,<0.05,,31.25,49.7915,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,0.0147,98.6,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,84.07,35.46,333.4158,5.9,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-211018,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,10/17/2018,<25,278.6,0,278.6,0,,4,,,<0.5,,,,,,0.023194,<0.021,6.331675,0.15745,<6.533319,0.180644,,,,,,,,,,,,,0.0177,0.054162,,,,<0.03,418,636,,,,7.2,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,15.6335,<0.2,<0.001,<0.025,0.8163,,1.9473,,<0.202,<0.0015,20.566,<0.05,,23.97,39.0808,,,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,,<0.005,,,<0.01,95,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,73.67,32.53,315.5576,15.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLCOA430,DLCOA430-060920,POZO 1 RANCHO SAN JUAN (CHAPULA),SUBTERRÁNEO,09/01/2020,<25,256.41,0,256.41,0,,<10,,,1.009,,,,,,0.024891,<0.021,5.12073,0.13164,<5.298261,0.156531,,,,,,,,,,,,,0.0362,0.1109,,,,<0.03,489.2,697,,,,7.9,,,,,,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,0.0807,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,34.9856,<0.2,<0.001,<0.025,0.7535,,3.097,,<0.202,<0.0015,25.65,<0.05,,22.82,90.4435,,,<0.005,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,<0.005,<0.0015,<0.01,202.8,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,<0.211,<0.423,<0.002,<0.001,<0.003,82.06,34.65,346.1556,30,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0001,0.7169,83.6786,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,<0.01,<0.0015,<0.005,<0.001,67.7,32.62,1.986,25.13,,,,
DLCOA431,DLCOA431-231212,"PRESA VENUSTIANO CARRANZA, ENTRADA RÍO SABINES",LÉNTICO (HUMEDAL),01/04/2013,,,,,,,9,,9,5.95,2.49,<2,<2,<10,<10,0.1038,<0.021,<0.02,0.0607,<0.2055,0.1645,,<1,,<1,<1,,,,,,,,0.056,,0.015,13,0.73,<0.03,688.64,,1076,1077,1076,,8.22,8.21,8.2,,,97.5,9.11,97.5,9.12,97.4,9.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,12,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,,,,,0.3692,0.3713,0.3662,,,,,,,,,,,,,,,398,19.6,,,,,16.7,16.7,16.7,16.8,16.8,16.8,16.8,16.9,16.9,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
