CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCRBR4974M1,RIO AGUALEGUAS AGUAS ABAJO DE LA LAGUNA DE OXIDACION,RÍO ÁLAMO,,,RÍO BRAVO,,NUEVO LEÓN,AGUALEGUAS,RIO AGUALEGUAS,LÓTICO,RÍO,26.2983,-99.51955
OCRBR4974M2,RIO PESQUERIA EN AVENIDA PARQUE INDUSTRIAL,RÍO PESQUERÍA,,,RÍO BRAVO,,NUEVO LEÓN,GENERAL ESCOBEDO,RIO PESQUERIA,LÓTICO,RÍO,25.811927,-100.344949
OCRBR4975M1,RIO ALAMO (AGUAS ABAJO DE LA CABECERA MUNICIPAL),RÍO ÁLAMO,,,RÍO BRAVO,,NUEVO LEÓN,PARÁS,RIO ALAMO,LÓTICO,RÍO,26.4938,-99.49396
OCRBR4975M2,RIO PESQUERIA AGUAS ABAJO PUENTE ALCALI,RÍO PESQUERÍA,,,RÍO BRAVO,,NUEVO LEÓN,GARCÍA,RIO PESQUERIA,LÓTICO,RÍO,25.7846,-100.53198
OCRBR4976M1,RIO ALAMO (AGUAS ABAJO DEL EJIDO 5 DE MAYO),RÍO ÁLAMO,,,RÍO BRAVO,,NUEVO LEÓN,PARÁS,RIO ALAMO,LÓTICO,RÍO,26.48454,-99.71896
OCRBR4976M2,RIO ALAMO POBLADO PALO ALTO,RÍO ÁLAMO,,,RÍO BRAVO,,NUEVO LEÓN,PARÁS,RIO ALAMO,LÓTICO,RÍO,26.49475,-99.75414
OCRBR4977M1,PUENTE CARRETERA A COLOMBIA AGUAS ARRIBA,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,VILLALDAMA,RÍO SABINAS,LÓTICO,RÍO,26.5059,-100.43459
OCRBR4978M1,CHARCO DEL LOBO,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,SABINAS HIDALGO,RIO SABINAS,LÓTICO,RÍO,26.49355,-100.21079
OCRBR4979M1,TOMA SANTA FE,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,VILLALDAMA,RÍO SABINAS,LÓTICO,RÍO,26.49718,-100.41916
OCRBR4980M1,PUENTE VADO PASO LAS LAJAS,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,ANÁHUAC,RIO SALADO,LÓTICO,RÍO,27.33684,-100.39124
OCRBR4981M1,RIO CANDELA FRENTE A EJIDO HORCONES,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,LAMPAZOS DE NARANJO,RIO CANDELA,LÓTICO,RÍO,27.1715,-100.41341
OCRBR4982M1,CAÑON RIO BUSTAMANTE,RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,BUSTAMANTE,RIO BUSTAMANTE,LÓTICO,RÍO,26.54214,-100.5377
OCRBR4983M1,RIO CANDELA (PASO DE LAGUNA EN CARROZA AGUAS ARRIBA LAMPAZOS),RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,LAMPAZOS DE NARANJO,RIO CANDELA,LÓTICO,RÍO,27.02373,-100.5369
OCRBR4984M1,RIO CANDELA (AGUAS ABAJO DE LAGUNAS DE OXIDACION DE LAMPAZOS),RÍO SALADO,,,RÍO BRAVO,,NUEVO LEÓN,LAMPAZOS DE NARANJO,RIO CANDELA,LÓTICO,RÍO,27.04247,-100.53735
