CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCPNO4445,CULIACAN NORTE  (A) AGUAS ARRIBA,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN CEDRITOS,LÓTICO,DREN,24.82585,-107.50997
OCPNO4446,CULIACAN NORTE  (A) AGUAS ABAJO,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN CEDRITOS,LÓTICO,DREN,24.8217,-107.52932
OCPNO4447,POZO CNA 7,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,CULIACÁN,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.79921,-107.42654
OCPNO4448,PUENTE NEGRO,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,24.80935,-107.41251
OCPNO4449,RIO CULIACAN 5,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO CULIACAN,LÓTICO,CANAL,24.80789,-107.41048
OCPNO4449M1,RIO CULIACAN 5,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO CULIACAN,LÓTICO,CANAL,24.8054,-107.40774
OCPNO4450,RIO TAMAZULA 1,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,24.81233,-107.40237
OCPNO4451,RIO TAMAZULA PUENTE MORELOS,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,24.81271,-107.391
OCPNO4452,RIO TAMAZULA PUENTE JUAREZ,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,24.81912,-107.38099
OCPNO4453,RIO TAMAZULA 2,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO TAMAZULA,LÓTICO,RÍO,24.81074,-107.32621
OCPNO4454,LOMA DE RODRIGUERA,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,CULIACÁN,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.87168,-107.40047
OCPNO4455,RIO CULIACAN PUENTE USE,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,24.79331,-107.44814
OCPNO4456,RIO CULIACAN 4,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,RIO CULIACAN,LÓTICO,RÍO,24.7901,-107.48228
OCPNO4457,PUENTE EL FERROCARRIL (CULIACANCITO),RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN MARGEN DERECHA,LÓTICO,DREN,24.81976,-107.53582
OCPNO4458,PUENTE EL PINOLE,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN MARGEN DERECHA,LÓTICO,DREN,24.82238,-107.564
OCPNO4459,SAN PEDRO,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO,RÍO,24.78496,-107.55836
OCPNO4460,EL BATALLON (CNA-190MI),,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,NAVOLATO,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.76754,-107.5839
OCPNO4460M1,POZO CNA 197 COFRADIA NAVOLATO,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,NAVOLATO,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.76599,-107.6446
OCPNO4461,POZO CNA RC-5,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,NAVOLATO,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.76621,-107.59661
OCPNO4462,POZO CNA 135,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,NAVOLATO,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.76086,-107.71181
OCPNO4463,DREN PRINCIPAL NAVOLATO AGUAS ARRIBA PTAR DE NAVOLATO,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,DREN PRINCIPAL NAVOLATO,LÓTICO,DREN,24.72352,-107.68215
OCPNO4463M1,DREN CHIRICAHUETO,GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,CULIACÁN,DREN CHIRICAHUETO,LÓTICO,DREN,24.59936,-107.48409
OCPNO4464,100M. AGUAS ABAJO DE LA DESCARGA MUNICIPAL,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,DREN PRINCIPAL NAVOLATO,LÓTICO,DREN,24.716753,-107.677918
OCPNO4464M1,RIO CULIACAN LA PIPIMA,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO,RÍO,24.69182,-107.69964
OCPNO4465,LAS TRANCAS,,2504,RIO CULIACAN,PACÍFICO NORTE,SINALOA,NAVOLATO,ACUÍFERO RIO CULIACAN,SUBTERRÁNEO,POZO,24.70395,-107.72429
OCPNO4466,PUENTE LIMONCITO,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO,RÍO,24.75625,-107.73146
OCPNO4467,RH10-2 SINALOA,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO - COSTERO,ESTERO,24.57455,-107.68145
OCPNO4467M1,RH10-2 SINALOA,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO,RÍO,24.62845,-107.6608
OCPNO4468,RIO CULIACAN 2,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO - COSTERO,ESTERO,24.5316,-107.70863
OCPNO4469,RIO CULIACAN 1,RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,RIO CULIACAN,LÓTICO - COSTERO (HUMEDAL),ESTUARIO,24.49616,-107.73111
OCPNO4470,"BAHIA DE ALTATA SEG 37, 1 ISA10B",RÍO CULIACÁN,,,PACÍFICO NORTE,SINALOA,NAVOLATO,BAHIA DE ALTATA SEG,COSTERO (HUMEDAL),BAHIA,24.48918,-107.72367
OCPNO4471,ENSENADA PABELLONES 3,GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,CULIACÁN,CUERPO DE AGUA DEL HUMEDAL,COSTERO (HUMEDAL),BAHIA,24.49664,-107.77221
OCPNO4472,BAHIA DE ALTATA SALIDA,GRUPO DE CORRIENTES PABELLONES,,,PACÍFICO NORTE,SINALOA,CULIACÁN,BAHIA ALTATA SALIDA,COSTERO,BAHIA,24.52105,-107.8159
