C_SITIO,C_MONITOREO,NOMBRE_SITIO,TIPO_CUERPO_AGUA,FECHA,ALC_FEN,ALC_TOT,CO3,HCO3,OH,CLOROF_A,COLI_FEC,COLI_TOT,E_COLI,COT,COT_SOL,DBO_SOL,DBO_TOT,DQO_SOL,DQO_TOT,N_NH3,N_NO2,N_NO3,N_ORG,N_TOT,N_TOTK,TOX_D_48_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_SUP_30_UT,TOX_FIS_SUP_5_UT,TOX_FIS_FON_15_UT,TOX_FIS_FON_30_UT,TOX_FIS_FON_5_UT,TOX_V_15_UT,TOX_V_30_UT,TOX_V_5_UT,P_TOT,PO4_TOT,ORTO_PO4,COLOR_VER,TRANSPARENCIA,ABS_UV,SDT,CONDUC_CAMPO,CONDUC_CAMPO_SUP,CONDUC_CAMPO_MED,CONDUC_CAMPO_FON,pH_CAMPO,pH_CAMPO_SUP,pH_CAMPO_MED,pH_CAMPO_FON,SALINIDAD_SUP,SALINIDAD_MED,SALINIDAD_FON,OD_%,OD_mg/L,OD_%_SUP,OD_mg/L_SUP,OD_%_MED,OD_mg/L_MED,OD_%_FON,OD_mg/L_FON,"1,1,1,2_TTCETA","1,1,2,2_TETRACLETAN","1,1,2_TCETA","1,1_DICLETILEN","1,2,4_TRICLBENCEN","1,2_DIBR_3_CLPROPAN","1,2_DICLETAN","1,2_DICLPROPAN",2_CEVE,ACRILONITRILO,ACROLEINA,AL_TOT,BA_TOT,BENCENO,BR_CLMET,BROMOMETANO,"CIS_1,2_DICLETEN",CL_BENC,CL_METILENO,CLOROMETANO,CLORURO_DE_VINILO,CLORUROS_TOT,ENTEROC_FEC,ESTIRENO,ETILBENCENO,FE_TOT,FLUORUROS_TOT,K_TOT,METILTERBUTILETER_MTBE_,MN_TOT,NA_TOT,SAAM,SB_TOT,SIO2,SO4_TOT,SST,SULFUROS_TOT,TALIO,TETRACL_CARB,TETRACLOROETILENO_,TOLUENO,"TRANS_1,2_DICLOROETILENO",TRICLOROETILENO,TRICLOROFLUOROMETANO,TURBIEDAD,AS_TOT,CD_TOT,CR_TOT,HG_TOT,NI_TOT,PB_TOT,CN_TOT,CU_TOT,ZN_TOT,POT_REDOX_CAMPO,POT_REDOX_CAMPO_SUP,POT_REDOX_CAMPO_MED,POT_REDOX_CAMPO_FON,"1,2_DICLBENC","1,3_DICLBEN","1,4_DICLBEN",DICLOROBENCENOS,BR_DICLMET,BROMOF,CLOROFORMO,DIBR_CLMET,THMs,"M,P_XILENO",O_XILENO,XILEN_ISOMEROS,CA_TOT,MG_TOT,DUR_TOT,TEMP_AMB,TEMP_AGUA,TEMP_AGUA_SUP,TEMP_AGUA_MED,TEMP_AGUA_FON,TEMP_AGUA_0.5,TEMP_AGUA_1,TEMP_AGUA_2,TEMP_AGUA_3,TEMP_AGUA_4,TEMP_AGUA_5,TEMP_AGUA_6,TEMP_AGUA_7,TEMP_AGUA_8,TEMP_AGUA_9,TEMP_AGUA_10,TEMP_AGUA_11,TEMP_AGUA_12,TEMP_AGUA_13,TEMP_AGUA_14,TEMP_AGUA_15,TEMP_AGUA_16,TEMP_AGUA_17,TEMP_AGUA_18,TEMP_AGUA_19,TEMP_AGUA_20,TEMP_AGUA_21,TEMP_AGUA_22,TEMP_AGUA_23,TEMP_AGUA_24,TEMP_AGUA_25,TEMP_AGUA_26,TEMP_AGUA_27,TEMP_AGUA_28,TEMP_AGUA_29,TEMP_AGUA_30,TEMP_AGUA_31,TEMP_AGUA_32,TEMP_AGUA_33,TEMP_AGUA_34,TEMP_AGUA_35,TEMP_AGUA_36,TEMP_AGUA_37,TEMP_AGUA_38,TEMP_AGUA_39,TEMP_AGUA_39.5,PROFUNDIDAD,CAUDAL,CLORUROS_SOL,FLUORUROS_SOL,SO4_SOL,AS_SOL,CD_SOL,CR_SOL,FE_SOL,MN_SOL,HG_SOL,PB_SOL,ZN_SOL,AL_SOL,CU_SOL,TALIO_SOL,NI_SOL,CA_SOL,MG_SOL,K_SOL,NA_SOL,SULFUROS_SOL,BA_SOL,SB_SOL
MET-001,MET-001-120921,BACANUCHI POZO,SUBTERRÁNEO,09/07/2021,,246.175,0,246.175,0,,<10,,,1.328,,,,,,0.053263,<0.021,1.706396,0.32898,<2.109639,0.382243,,,,,,,,,,,,,0.0682,0.2087,,,,,833.4,882,,,,7.5,,,,,,,92.1,7.2,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,20.1356,,<0.2,<0.001,<0.025,0.3536,2.741,<0.202,<0.0015,39.81,<0.05,,,310.0997,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0013,0.002,<0.01,136.9,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,202.4,26.68,507.3396,33,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1288,<0.2,301.8046,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,190.1,22.61,2.695,34.52,<0.05,,
MET-010,MET-010-311021,ARIZPE POZO 3,SUBTERRÁNEO,10/26/2021,,219.42,0,219.42,0,,<10,,,<0.5,,,,,,0.078194,<0.021,1.054546,1.16265,<2.31639,1.240844,,,,,,,,,,,,,0.0996,0.3047,,,,,525,644,,,,7.5,,,,,,,89.4,7.21,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,12.996,,<0.2,<0.001,<0.025,0.2615,3.974,<0.202,<0.0015,38.04,<0.05,,,177.9341,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0027,<0.0015,0.0196,155.9,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,132.4,25.03,345.0658,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.996,0.2451,177.9341,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,106.3,21.32,3.074,29.44,<0.05,,
MET-011,MET-011-311021,BAMORI POZO,SUBTERRÁNEO,10/26/2021,,213.21,0,213.21,0,,<10,,,1.257,,,,,,0.057359,<0.021,0.699006,0.13021,<0.907575,0.187569,,,,,,,,,,,,,0.0719,0.22,,,,,469,616,,,,7.1,,,,,,,49.2,3.85,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,12.4961,,<0.2,<0.001,<0.025,0.7243,4.279,<0.202,<0.0015,39.39,<0.05,,,161.9648,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.003,<0.0015,0.0238,138.6,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,121.7,19.75,299.19,26,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4961,0.6631,161.9648,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,0.0192,,,,<0.001,101.2,16.07,3.091,33.33,<0.05,,
MET-013,MET-013-120921,SINOQUIPE POZO,SUBTERRÁNEO,09/08/2021,,192.425,0,192.425,0,,<10,,,1.07,,,,,,0.067042,<0.021,1.902172,0.3395,<2.329714,0.406542,,,,,,,,,,,,,0.0262,0.0803,,,,,350.4,487,,,,7.2,,,,,,,100.7,7.44,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,<10,,<0.2,<0.001,<0.025,0.2527,2.946,<0.202,<0.0015,18.05,<0.05,,,65.042,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0015,<0.0015,0.0395,190.4,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,82.9,15.7,229.701,29,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,0.2527,63.2802,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,0.0369,,,,<0.001,72.61,12.65,2.339,14.88,<0.05,,
MET-016,MET-016-120921,BANAMICHI POZO,SUBTERRÁNEO,09/08/2021,,233.275,0,233.275,0,,<10,,,0.9924,,,,,,0.051242,<0.021,1.377625,0.72146,<2.171327,0.772702,,,,,,,,,,,,,0.0724,0.2216,,,,,500,653,,,,7.5,,,,,,,90.7,6.85,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,12.5848,,<0.2,<0.001,<0.025,0.4705,3.566,<0.202,<0.0015,38.01,<0.05,,,150.2468,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0021,<0.0015,<0.01,13.7,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,97.14,14.91,297.6126,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0746,0.4414,140.1685,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,95.05,14.23,3.391,34.96,<0.05,,
MET-021,MET-021-120921,RANCHITO DE HUEPAC POZO,SUBTERRÁNEO,09/09/2021,,316.05,0,316.05,0,,<10,,,0.9254,,,,,,0.054162,0.023892,5.209903,0.62203,5.909987,0.676192,,,,,,,,,,,,,0.0372,0.1138,,,,,804.2,1001,,,,7.5,,,,,,,95.5,7.34,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,24.6661,,<0.2,<0.001,<0.025,0.474,4.333,<0.202,<0.0015,85.98,<0.05,,,266.7725,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0012,0.0083,<0.01,14.4,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,151,24.87,435.4332,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1559,0.433,212.0567,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,125.8,21.5,4.03,75.49,<0.05,,
MET-025,MET-025-120921,LA ESTANCIA POZO,SUBTERRÁNEO,09/09/2021,,271.975,0,271.975,0,,41,,,0.6395,,,,,,0.069553,0.026876,2.153877,0.46173,2.712036,0.531283,,,,,,,,,,,,,0.0361,0.1106,,,,,212.6,332,,,,7.7,,,,,,,96.2,6.95,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,10.0678,,<0.2,<0.001,<0.025,0.3231,2.858,<0.202,<0.0015,28,<0.05,,,<15,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0105,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0014,<0.0015,<0.01,13.7,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,47.51,5.741,123.8388,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<10,0.3231,<15,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,41.18,4.803,2.356,23.34,<0.05,,
MET-027,MET-027-120921,SAN JOSÉ DE BAVIACORA POZO ,SUBTERRÁNEO,09/09/2021,,333.25,0,333.25,0,,<10,,,1.127,,,,,,0.057702,0.025798,5.85788,0.78546,6.72684,0.843162,,,,,,,,,,,,,0.0384,0.1175,,,,,859.2,1053,,,,7.4,,,,,,,86.1,6.62,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,30.2034,,<0.2,<0.001,<0.025,0.464,6.063,<0.202,0.0052,91.53,<0.05,,,265.7297,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,0.0156,0.0036,0.0058,<0.0005,0.0031,<0.005,0.002,0.007,<0.01,15.7,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,156.8,32.14,473.3838,33,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1966,0.464,236.7641,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,128.8,26.28,4.109,71.68,<0.05,,
MET-031,MET-031-120921,PUERTA DEL SOL POZO,SUBTERRÁNEO,9/18/2021,,235.44,0,235.44,0,,20,,,1.911,,,,,,0.022862,0.05179,1.738456,0.15743,1.970538,0.180292,,,,,,,,,,,,,0.0876,0.2679,,,,,568,784,,,,7.7,,,,,,,97.1,7.22,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,19.1288,,<0.2,<0.001,<0.025,0.6356,5.441,<0.202,<0.0015,60.36,<0.05,,,187.6393,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0028,0.003,<0.01,160.7,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,88.54,17.78,287.6256,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6187,0.6356,176.2596,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,85.81,16.29,4.562,56.6,<0.05,,
MET-034,MET-034-120921,SAN PEDRO DE URES POZO,SUBTERRÁNEO,9/18/2021,,226.72,0,226.72,0,,<10,,,1.729,,,,,,0.023458,0.056347,4.492438,0.24771,4.819953,0.271168,,,,,,,,,,,,,0.0719,0.22,,,,,591,797,,,,7.7,,,,,,,96.1,7.34,,,,,,,<0.202,<0.2,<0.001,<0.00015,<0.2,<0.2,<0.001,<0.2,<0.2,<0.2,<0.00025,<0.01,,<0.001,<0.196,<0.2,<0.21,<0.00021,<0.001,<0.001,<0.001,20.1356,,<0.2,<0.001,<0.025,0.548,4.88,<0.202,<0.0015,50.17,<0.05,,,253.5573,<10,<0.05,,<0.0001,<0.001,<0.001,<0.001,<0.001,<0.2,,<0.01,<0.003,<0.005,<0.0005,<0.001,<0.005,0.0027,0.0022,<0.01,174.5,,,,<0.001,<0.001,<0.001,<0.003,<0.21,<0.001,<0.001,,,<0.002,<0.001,<0.003,108.1,17.26,331.5684,39,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1288,0.548,208.5537,<0.01,<0.003,<0.005,<0.025,<0.0015,<0.0005,<0.005,<0.01,,,,<0.001,97.66,17.14,4.681,50.13,<0.05,,
