CLAVE SITIO,NOMBRE DEL SITIO,CUENCA,CLAVE ACUÍFERO,ACUÍFERO,ORGANISMO CUENCA,DIRECCIÓN LOCAL,ESTADO,MUNICIPIO,CUERPO DE AGUA,TIPO DE CUERPO DE AGUA,SUBTIPO CUERPO AGUA,LATITUD,LONGITUD
OCNOR3984,POZO 6,,2629,RIO AGUA PRIETA,NOROESTE,,SONORA,AGUA PRIETA,ACUÍFERO RIO AGUA PRIETA,SUBTERRÁNEO,POZO,31.32013,-109.53205
OCNOR3985,AGUA PRIETA DOUGLAS,RÍO BAVISPE,,,NOROESTE,,SONORA,AGUA PRIETA,RIO AGUA PRIETA,LÓTICO,DESCARGA,31.33398,-109.57592
OCNOR3986,AGUA PRIETA,,2629,RIO AGUA PRIETA,NOROESTE,,SONORA,AGUA PRIETA,ACUÍFERO RIO AGUA PRIETA,SUBTERRÁNEO,POZO,31.2372,-109.55489
OCNOR3987,OJO DE AGUA,RÍO SONORA 1,,,NOROESTE,,SONORA,CANANEA,RIO SONORA,LÓTICO,RÍO,30.95804,-110.18906
OCNOR3987M1,POZO 3 OJO DE AGUA,,2627,RIO BACOACHI,NOROESTE,,SONORA,CANANEA,ACUÍFERO RIO SONORA,SUBTERRÁNEO,POZO,30.975972,-110.217722
OCNOR3988,SONORA 6,RÍO SONORA 1,,,NOROESTE,,SONORA,CANANEA,RIO SONORA,LÓTICO,RÍO,30.9481,-110.19079
OCNOR3989,CANANEA,RÍO SAN PEDRO,,,NOROESTE,,SONORA,CANANEA,ARROYO EL BARRILITO,LÓTICO (HUMEDAL),ARROYO,30.99713,-110.28877
OCNOR3990,AGUA CALIENTE DE ACONCHI,RÍO SONORA 1,,,NOROESTE,,SONORA,ACONCHI,RIO SONORA,LÓTICO,RÍO,29.84478,-110.27754
OCNOR3991,DERIVADORA DE HUASABAS,RÍO YAQUI 1,,,NOROESTE,,SONORA,HUÁSABAS,RIO YAQUI,LÓTICO,RÍO,29.94885,-109.2932
OCNOR3992,AGUA PRIETA DOUGLAS AGUAS ABAJO,RÍO BAVISPE,,,NOROESTE,,SONORA,AGUA PRIETA,RIO AGUA PRIETA,LÓTICO,RÍO,31.3281,-109.57077
OCNOR3993,CUITACA,,2660,CUITACA,NOROESTE,,SONORA,CANANEA,ACUÍFERO CUITACA,SUBTERRÁNEO,POZO,30.99709,-110.48888
OCNOR3994,POZO EJIDO MIGUEL HIDALGO,,2615,RIO SANTA CRUZ,NOROESTE,,SONORA,SANTA CRUZ,ACUÍFERO RIO SANTA CRUZ,SUBTERRÁNEO,POZO,31.14924,-110.63928
OCNOR3995,MILPILLAS,,2660,CUITACA,NOROESTE,,SONORA,SANTA CRUZ,ACUÍFERO CUITACA,SUBTERRÁNEO,POZO,31.11264,-110.45173
OCNOR3996,SANTA CRUZ 2,RÍO SANTA CRUZ,,,NOROESTE,,SONORA,SANTA CRUZ,RIO SANTA CRUZ,LÓTICO (HUMEDAL),RÍO,31.1499,-110.64368
OCNOR3997,SANTA CRUZ,RÍO SANTA CRUZ,,,NOROESTE,,SONORA,SANTA CRUZ,RIO SANTA CRUZ,LÓTICO,RÍO,31.17829,-110.60928
OCNOR3998,MASCAREÑAS 8,,2615,RIO SANTA CRUZ,NOROESTE,,SONORA,NOGALES,ACUÍFERO RIO SANTA CRUZ,SUBTERRÁNEO,POZO,31.3158,-110.8354
OCNOR3999,PARQUE INDUSTRIAL DE NOGALES,,2650,NOGALES,NOROESTE,,SONORA,NOGALES,ACUÍFERO NOGALES,SUBTERRÁNEO,POZO,31.25638,-110.96166
OCNOR4000,LAS CHIMENEAS,,2650,NOGALES,NOROESTE,,SONORA,NOGALES,ACUÍFERO NOGALES,SUBTERRÁNEO,POZO,31.27681,-110.97975
OCNOR4001,ESTACION CUARENTENARIA,,2650,NOGALES,NOROESTE,,SONORA,NOGALES,ACUÍFERO NOGALES,SUBTERRÁNEO,POZO,31.33135,-110.97273
